update, shannon_diversity, max_fitness, avg_fitness, non_inf
0, 4.89057, 207.481, 202.845, 0.977657
10, 5.21588, 216.852, 215.929, 0.995743
20, 5.42998, 225.17, 224.143, 0.99544
30, 5.42047, 233.501, 232.003, 0.993586
40, 5.24051, 237.711, 236.827, 0.996283
50, 5.35627, 241.875, 241.076, 0.996699
60, 5.23572, 246.099, 244.883, 0.995057
70, 4.9052, 249.405, 248.642, 0.996939
80, 4.89946, 251.985, 251.374, 0.997577
90, 4.84133, 254.447, 253.939, 0.998005
100, 4.94322, 256.012, 255.385, 0.997549
110, 4.29763, 257.858, 257.276, 0.997745
120, 4.73803, 259.906, 259.109, 0.996937
130, 4.41756, 260.231, 259.835, 0.998476
140, 4.9834, 260.846, 260.392, 0.998259
150, 4.95037, 261.598, 261.104, 0.998112
160, 5.10675, 262.088, 261.564, 0.998
170, 4.88768, 262.482, 261.891, 0.997751
180, 4.90998, 262.772, 262.259, 0.998049
190, 4.49032, 262.971, 262.575, 0.998496
200, 4.59065, 263.317, 262.794, 0.998011
210, 4.20502, 263.545, 263.127, 0.998416
220, 4.56787, 263.71, 263.206, 0.998086
230, 5.03261, 263.789, 263.396, 0.99851
240, 3.92462, 263.8, 263.374, 0.998383
250, 4.17514, 263.823, 263.388, 0.99835
260, 3.7447, 263.832, 263.479, 0.998662
270, 4.38611, 263.902, 263.428, 0.998204
280, 3.90931, 263.947, 263.569, 0.998569
290, 4.01566, 263.959, 263.593, 0.998615
300, 3.19666, 263.968, 263.608, 0.998635
310, 3.75329, 263.989, 263.6, 0.998528
320, 4.25917, 263.989, 263.571, 0.998416
330, 4.27921, 263.989, 263.616, 0.998589
340, 3.18062, 263.989, 263.644, 0.998693
350, 3.89523, 263.989, 263.581, 0.998456
360, 3.62358, 263.989, 263.621, 0.998608
370, 3.5544, 263.989, 263.63, 0.998642
380, 2.89832, 263.989, 263.629, 0.998639
390, 4.29869, 263.989, 263.61, 0.998564
400, 3.59781, 263.989, 263.597, 0.998515
410, 4.80902, 263.989, 263.547, 0.998326
420, 4.06774, 263.989, 263.57, 0.998414
430, 3.54245, 263.989, 263.571, 0.998416
440, 3.85443, 263.989, 263.661, 0.998757
450, 4.23967, 263.989, 263.608, 0.998557
460, 2.94209, 263.989, 263.613, 0.998577
470, 3.77981, 263.989, 263.557, 0.998362
480, 4.66176, 263.989, 263.556, 0.99836
490, 3.95608, 263.989, 263.584, 0.998466
500, 4.49467, 263.989, 263.54, 0.998298
510, 2.96958, 263.989, 263.556, 0.998362
520, 4.37664, 263.989, 263.536, 0.998285
530, 3.53337, 263.989, 263.568, 0.998405
540, 3.89065, 263.989, 263.557, 0.998366
550, 3.37389, 263.989, 263.561, 0.998378
560, 4.31774, 263.989, 263.594, 0.998503
570, 4.16486, 263.989, 263.556, 0.998359
580, 3.52868, 263.989, 263.545, 0.99832
590, 4.05224, 263.989, 263.545, 0.998317
600, 3.6545, 263.989, 263.58, 0.998453
610, 4.18374, 263.989, 263.609, 0.998561
620, 3.83916, 263.989, 263.563, 0.998388
630, 4.68387, 263.989, 263.57, 0.998413
640, 4.35407, 263.989, 263.596, 0.998511
650, 4.4266, 263.989, 263.557, 0.998364
660, 3.62046, 263.989, 263.569, 0.99841
670, 4.75845, 263.989, 263.581, 0.998453
680, 3.29587, 263.989, 263.643, 0.998691
690, 3.80075, 263.989, 263.585, 0.998471
700, 4.14076, 263.989, 263.503, 0.99816
710, 3.92094, 263.989, 263.516, 0.998209
720, 4.50454, 263.989, 263.61, 0.998566
730, 3.70904, 263.989, 263.613, 0.998577
740, 3.22043, 263.989, 263.629, 0.998638
750, 3.438, 263.989, 263.555, 0.998356
760, 3.45177, 263.989, 263.618, 0.998596
770, 2.92209, 263.989, 263.578, 0.998446
780, 4.50928, 263.989, 263.525, 0.998245
790, 3.34117, 263.989, 263.629, 0.998638
800, 4.13958, 263.989, 263.566, 0.9984
810, 3.92378, 263.989, 263.478, 0.998064
820, 3.35905, 263.989, 263.611, 0.998568
830, 4.78579, 263.989, 263.485, 0.998093
840, 3.47024, 263.989, 263.683, 0.998843
850, 3.18062, 263.989, 263.605, 0.998548
860, 4.1689, 263.989, 263.488, 0.998102
870, 4.83958, 263.989, 263.55, 0.998337
880, 4.3088, 263.989, 263.596, 0.998511
890, 4.20947, 263.989, 263.638, 0.99867
900, 3.40675, 263.989, 263.658, 0.998747
910, 3.32595, 263.989, 263.629, 0.998639
920, 4.50158, 263.989, 263.622, 0.998612
930, 3.39555, 263.989, 263.671, 0.998796
940, 3.27471, 263.989, 263.611, 0.998571
950, 4.64234, 263.989, 263.585, 0.99847
960, 3.73883, 263.989, 263.556, 0.998361
970, 3.96857, 263.989, 263.652, 0.998724
980, 4.9338, 263.989, 263.588, 0.998482
990, 3.4531, 263.975, 263.519, 0.998274
